Day,Start,End,Title,Colour
Monday,09:30,10:30,Ladies Only Fitness and MUAY THAI,pink
Wednesday,09:30,10:30,Ladies Only Fitness and MUAY THAI,pink
Friday,09:30,10:30,Ladies Only Fitness and MUAY THAI,pink
Monday,10:30,11:30,"Open Class All Levels
MUAY THAI
Cardio Strength",black
Tuesday,10:30,11:30,"Open Class All Levels
MUAY THAI
Cardio Strength",black
Tuesday,10:30,11:30,"Open Class All Levels
MUAY THAI
Cardio Strength",orange
Tuesday,10:30,11:30,"Open Class All Levels
MUAY THAI
Cardio Strength",green
Wednesday,10:30,11:30,"Open Class All Levels
MUAY THAI
Cardio Strength",black
Thursday,10:30,11:30,"Open Class All Levels
MUAY THAI
Cardio Strength",black
Friday,10:30,11:30,"Open Class All Levels
MUAY THAI
Cardio Strength",black
Saturday,10:30,11:30,"Open Class All Levels
MUAY THAI
Cardio Strength",black
Monday,16:30,17:15,"Kids Muay Thai
Ages 4yrs to 7yrs",teal
Tuesday,16:30,17:15,"Kids Muay Thai
Ages 4yrs to 7yrs",teal
Wednesday,16:30,17:15,"Kids Muay Thai
Ages 4yrs to 7yrs",teal
Thursday,16:30,17:15,"Kids Muay Thai
Ages 4yrs to 7yrs",teal
Monday,17:30,18:30,"Bigger Kids Muay Thai
Ages 8yrs to 14yrs",green
Tuesday,17:30,18:30,"Bigger Kids Muay Thai
Ages 8yrs to 14yrs",green
Wednesday,17:30,18:30,"Bigger Kids Muay Thai
Ages 8yrs to 14yrs",green
Thursday,17:30,18:30,"Bigger Kids Muay Thai
Ages 8yrs to 14yrs",green
Monday,16:00,19:00,Fighters Program,red
Tuesday,16:00,19:00,Fighters Program,red
Wednesday,16:00,19:00,Fighters Program,red
Thursday,16:00,19:00,Fighters Program,red
Friday,16:00,19:00,Fighters Program,red
Saturday,06:30,09:30,Fighters Program,red
Monday,18:30,19:30,Adult Beginner and Advanced Muay Thai,black
Tuesday,18:30,19:30,Adult Beginner and Advanced Muay Thai,black
Wednesday,18:30,19:30,Adult Beginner and Advanced Muay Thai,black
Thursday,18:30,19:30,Adult Beginner and Advanced Muay Thai,black
Tuesday,11:30,12:05,ToneFit,orange
Thursday,11:30,12:05,ToneFit,orange
Friday,17:30,19:30,"Open Training Night
All Members Welcome
(PTs by Appointment)",yellow
Saturday,09:30,10:30,"Weights Class
All Welcome",yellow
